trip_id,date_time,city_zone,vehicle_type,trip_distance_km,trip_duration_minutes,average_speed_kmph,weather_condition,traffic_level,helmet_used,accident_reported,safety_risk_level
1,01-01-2024 00:00,IT Hub,E-Scooter,5.27,49.3,18.2,Rainy,Medium,Yes,No,Low
2,01-01-2024 01:00,University Zone,E-Bike,2.17,25.3,10.4,Clear,Low,Yes,Yes,Low
3,01-01-2024 02:00,IT Hub,E-Scooter,4.94,31.5,8.3,Clear,Low,No,No,Medium
4,01-01-2024 03:00,Residential,E-Scooter,4.95,47.1,25.5,Rainy,Medium,Yes,No,Medium
5,01-01-2024 04:00,Tourist Area,E-Bike,9.09,37.4,20.7,Hot,Medium,Yes,No,Low
6,01-01-2024 05:00,IT Hub,E-Scooter,6.92,33.6,15.4,Hot,High,Yes,Yes,Medium
7,01-01-2024 06:00,Tourist Area,E-Scooter,6.4,16.8,16.2,Hot,Low,No,No,Low
8,01-01-2024 07:00,Residential,E-Bike,6.9,33,16.5,Hot,High,No,No,Low
9,01-01-2024 08:00,Residential,E-Scooter,6.21,22.8,25.4,Foggy,Low,No,No,High
10,01-01-2024 09:00,Commercial,E-Bike,2.55,42.3,23.7,Clear,Medium,Yes,No,Low
11,01-01-2024 10:00,Residential,Bicycle,1.61,51,21.9,Clear,High,Yes,No,Low
12,01-01-2024 11:00,Residential,Bicycle,9.25,7.3,8.7,Foggy,Medium,No,No,Low
13,01-01-2024 12:00,Commercial,E-Bike,7.8,36.9,23,Foggy,High,Yes,No,Low
14,01-01-2024 13:00,Commercial,E-Scooter,2.83,52.8,18.5,Foggy,Low,No,No,Medium
15,01-01-2024 14:00,Residential,E-Bike,7.64,23.9,26.9,Hot,High,Yes,No,Low
16,01-01-2024 15:00,Tourist Area,Bicycle,2.2,46.7,22,Clear,High,Yes,No,Medium
17,01-01-2024 16:00,University Zone,E-Bike,7.52,32.2,25.5,Foggy,Low,Yes,No,High
18,01-01-2024 17:00,Commercial,E-Bike,4.23,37.3,23.9,Clear,Medium,Yes,No,High
19,01-01-2024 18:00,Commercial,Bicycle,0.58,59.9,25.5,Rainy,High,Yes,No,Medium
20,01-01-2024 19:00,University Zone,E-Bike,1.17,33.1,19.6,Foggy,High,No,No,Low
21,01-01-2024 20:00,Residential,E-Bike,4.99,29.9,17.5,Rainy,Medium,No,No,Low
22,01-01-2024 21:00,Tourist Area,E-Bike,0.79,21,23.1,Rainy,Medium,No,No,High
23,01-01-2024 22:00,IT Hub,E-Bike,4.25,32,15.7,Clear,Medium,Yes,No,Low
24,01-01-2024 23:00,University Zone,E-Bike,3.43,12.2,17.9,Rainy,High,Yes,Yes,High
25,02-01-2024 00:00,IT Hub,Bicycle,1.51,15.2,15.5,Foggy,Medium,Yes,Yes,Low
26,02-01-2024 01:00,University Zone,E-Scooter,4.85,46.8,25.6,Clear,Medium,Yes,Yes,Low
27,02-01-2024 02:00,Commercial,E-Bike,1.6,17.6,27.8,Foggy,Medium,Yes,No,Medium
28,02-01-2024 03:00,Commercial,Bicycle,2.27,21.8,11.5,Foggy,High,No,No,High
29,02-01-2024 04:00,Residential,E-Bike,9.3,11.3,12.7,Foggy,Low,Yes,No,Low
30,02-01-2024 05:00,Tourist Area,Bicycle,4.7,32.2,9.2,Clear,High,No,No,Low
31,02-01-2024 06:00,University Zone,E-Bike,7.01,46.3,21.5,Rainy,Medium,No,No,Medium
32,02-01-2024 07:00,University Zone,E-Scooter,9.67,43.9,29.6,Foggy,Medium,No,No,Low
33,02-01-2024 08:00,University Zone,E-Bike,1.81,32.1,8.7,Rainy,Low,Yes,No,Low
34,02-01-2024 09:00,Residential,E-Scooter,3.96,14.7,15.1,Rainy,Medium,Yes,No,Medium
35,02-01-2024 10:00,Tourist Area,E-Bike,8.54,55.3,29.1,Rainy,High,Yes,No,Low
36,02-01-2024 11:00,IT Hub,E-Scooter,1.49,50.9,18.1,Clear,High,Yes,No,Low
37,02-01-2024 12:00,Residential,Bicycle,6.58,46.9,10.2,Hot,Medium,Yes,No,Low
38,02-01-2024 13:00,University Zone,Bicycle,8.41,8,20.9,Clear,High,Yes,No,High
39,02-01-2024 14:00,Commercial,E-Bike,1.53,29.4,27.8,Foggy,Medium,No,No,Low
40,02-01-2024 15:00,Tourist Area,E-Scooter,8.67,40.5,18.1,Foggy,Medium,No,Yes,Low
41,02-01-2024 16:00,IT Hub,E-Bike,7.53,24.5,29,Rainy,Low,No,No,Low
42,02-01-2024 17:00,Commercial,E-Bike,5.33,29.5,22.4,Hot,Low,Yes,No,Low
43,02-01-2024 18:00,Tourist Area,E-Bike,9.62,46.1,12.4,Hot,Low,No,No,Low
44,02-01-2024 19:00,IT Hub,Bicycle,5.3,20.5,14.5,Clear,High,Yes,No,Low
45,02-01-2024 20:00,IT Hub,E-Bike,7.64,49.7,25.2,Foggy,Medium,Yes,No,Low
46,02-01-2024 21:00,IT Hub,Bicycle,9.47,52,12.1,Clear,Medium,Yes,No,Medium
47,02-01-2024 22:00,IT Hub,E-Bike,1.31,12.7,19.8,Hot,Medium,Yes,Yes,Low
48,02-01-2024 23:00,University Zone,Bicycle,2.38,56.1,20.8,Clear,High,Yes,No,Medium
49,03-01-2024 00:00,Tourist Area,E-Bike,9.2,56.4,17.3,Foggy,Medium,Yes,No,High
